timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716467096237,3,Dogs,200,OK,Thread Group 1-2,text,true,,4296,248,6,6,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,3,0,0
1716467096287,16,Home,200,OK,Thread Group 1-4,text,true,,1497,391,6,6,http://localhost:8080/jpetstore/,1,0,0
1716467096287,1,Home-0,302,Found,Thread Group 1-4,,true,,146,195,6,6,http://localhost:8080/jpetstore,1,0,0
1716467096288,15,Home-1,200,OK,Thread Group 1-4,text,true,,1351,196,6,6,http://localhost:8080/jpetstore/,15,0,0
1716467096302,6,Sign Out,200,OK,Thread Group 1-2,text,true,,5255,1075,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1716467096302,4,Sign Out-0,302,Found,Thread Group 1-2,,true,,333,542,6,6,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1716467096306,2,Sign Out-1,200,OK,Thread Group 1-2,text,true,,4922,533,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096301,8,Sign Out,200,OK,Thread Group 1-3,text,true,,5255,1075,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1716467096301,4,Sign Out-0,302,Found,Thread Group 1-3,,true,,333,542,6,6,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1716467096305,4,Sign Out-1,200,OK,Thread Group 1-3,text,true,,4922,533,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1716467096301,10,Login,200,OK,Thread Group 1-5,text,true,,5262,1625,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1716467096301,5,Login-0,302,Found,Thread Group 1-5,,true,,193,940,6,6,http://localhost:8080/jpetstore/actions/Account.action,5,0,0
1716467096306,5,Login-1,200,OK,Thread Group 1-5,text,true,,5069,685,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1716467096287,25,Login,200,OK,Thread Group 1-1,text,true,,5262,1625,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,15,0,0
1716467096287,15,Login-0,302,Found,Thread Group 1-1,,true,,193,940,6,6,http://localhost:8080/jpetstore/actions/Account.action,15,0,0
1716467096302,10,Login-1,200,OK,Thread Group 1-1,text,true,,5069,685,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,10,0,0
1716467096316,2,Birds,200,OK,Thread Group 1-1,text,true,,3710,249,6,6,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,2,0,0
1716467096320,1,Main Catalog,200,OK,Thread Group 1-4,text,true,,4832,468,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1716467096319,4,Home,200,OK,Thread Group 1-6,text,true,,1497,253,6,6,http://localhost:8080/jpetstore/,2,0,0
1716467096319,2,Home-0,302,Found,Thread Group 1-6,,true,,146,126,6,6,http://localhost:8080/jpetstore,2,0,0
1716467096322,1,Home-1,200,OK,Thread Group 1-6,text,true,,1351,127,6,6,http://localhost:8080/jpetstore/,1,0,0
1716467096322,2,Home,200,OK,Thread Group 1-2,text,true,,1497,391,6,6,http://localhost:8080/jpetstore/,1,0,0
1716467096322,1,Home-0,302,Found,Thread Group 1-2,,true,,146,195,6,6,http://localhost:8080/jpetstore,1,0,0
1716467096323,1,Home-1,200,OK,Thread Group 1-2,text,true,,1351,196,6,6,http://localhost:8080/jpetstore/,1,0,0
1716467096332,4,Sign Out,200,OK,Thread Group 1-1,text,true,,5255,1075,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096332,2,Sign Out-0,302,Found,Thread Group 1-1,,true,,333,542,6,6,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1716467096335,1,Sign Out-1,200,OK,Thread Group 1-1,text,true,,4922,533,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1716467096337,3,Home,200,OK,Thread Group 1-3,text,true,,1497,391,6,6,http://localhost:8080/jpetstore/,2,0,0
1716467096337,2,Home-0,302,Found,Thread Group 1-3,,true,,146,195,6,6,http://localhost:8080/jpetstore,2,0,0
1716467096339,1,Home-1,200,OK,Thread Group 1-3,text,true,,1351,196,6,6,http://localhost:8080/jpetstore/,1,0,0
1716467096350,4,Main Catalog,200,OK,Thread Group 1-3,text,true,,4832,468,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1716467096358,2,Home,200,OK,Thread Group 1-1,text,true,,1497,391,6,6,http://localhost:8080/jpetstore/,1,0,0
1716467096358,1,Home-0,302,Found,Thread Group 1-1,,true,,146,195,6,6,http://localhost:8080/jpetstore,1,0,0
1716467096359,1,Home-1,200,OK,Thread Group 1-1,text,true,,1351,196,6,6,http://localhost:8080/jpetstore/,1,0,0
1716467096357,4,Reptiles,200,OK,Thread Group 1-5,text,true,,3712,252,6,6,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,4,0,0
1716467096399,12,Sign In,200,OK,Thread Group 1-3,text,true,,3925,605,6,6,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,12,0,0
1716467096399,13,Sign In,200,OK,Thread Group 1-4,text,true,,3925,605,6,6,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,13,0,0
1716467096415,2,Main Catalog,200,OK,Thread Group 1-6,text,true,,5762,399,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096420,3,Main Catalog,200,OK,Thread Group 1-2,text,true,,4832,468,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1716467096423,2,Sign In,200,OK,Thread Group 1-6,text,true,,3925,605,6,6,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,2,0,0
1716467096432,10,Main Catalog,200,OK,Thread Group 1-1,text,true,,4832,468,6,6,http://localhost:8080/jpetstore/actions/Catalog.action,10,0,0
1716467096446,3,Sign Out,200,OK,Thread Group 1-5,text,true,,5255,1075,7,7,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1716467096446,3,Sign In,200,OK,Thread Group 1-2,text,true,,3923,605,7,7,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,3,0,0
1716467096446,1,Sign Out-0,302,Found,Thread Group 1-5,,true,,333,542,7,7,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1716467096447,2,Sign Out-1,200,OK,Thread Group 1-5,text,true,,4922,533,7,7,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1716467096450,3,Login,200,OK,Thread Group 1-6,text,true,,5262,1625,7,7,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1716467096450,1,Login-0,302,Found,Thread Group 1-6,,true,,193,940,7,7,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1716467096452,1,Login-1,200,OK,Thread Group 1-6,text,true,,5069,685,7,7,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1716467096454,3,Sign In,200,OK,Thread Group 1-1,text,true,,3919,605,7,7,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=Cyh040DIwh0suhKAAxRyi18CwEQ9Bffd0qSi4igU.ppss-vb?signonForm=,3,0,0
1716467096482,3,Home,200,OK,Thread Group 1-5,text,true,,1497,391,7,7,http://localhost:8080/jpetstore/,1,0,0
1716467096482,1,Home-0,302,Found,Thread Group 1-5,,true,,146,195,7,7,http://localhost:8080/jpetstore,1,0,0
1716467096483,2,Home-1,200,OK,Thread Group 1-5,text,true,,1351,196,7,7,http://localhost:8080/jpetstore/,2,0,0
